Date,Performnace,Performance,avg_perf,stress
2019-04-04,,64.7,66.79032258,82
2019-04-06,,64.7,67.31290323,
2019-04-07,,64.7,67.83548387,
2019-04-08,,64.7,68.35806452,
2019-04-09,,64.7,68.88064516,76
2019-04-10,,64.7,69.40322581,
2019-04-11,,64.7,69.92580645,29
2019-04-12,,64.7,70.4483871,
2019-04-13,,64.7,70.97096774,
2019-04-14,,64.7,71.75806452,
2019-04-15,,64.7,72.54516129,
2019-04-16,64.7,64.7,73.33225806,50
2019-04-17,,64.7,74.11935484,
2019-04-18,,64.7,74.90645161,80
2019-04-19,,64.7,75.69354839,
2019-04-20,,64.7,76.48064516,
2019-04-21,,64.7,77.26774194,
2019-04-22,,64.7,78.05483871,
2019-04-23,,64.7,78.62258065,82
2019-04-24,,64.7,79.19032258,
2019-04-25,,64.7,79.75806452,
2019-04-26,,64.7,80.32580645,
2019-04-27,,64.7,80.89354839,
2019-04-28,,64.7,81.46129032,125
2019-04-29,,64.7,82.02903226,
2019-04-30,,64.7,82.59677419,75
2019-05-01,,64.7,83.16451613,
2019-05-02,,80.9,83.73225806,111
2019-05-03,,80.9,83.77741935,
2019-05-04,,80.9,83.82258065,
2019-05-05,,80.9,83.60967742,57
2019-05-06,,80.9,83.39677419,9
2019-05-07,80.9,80.9,83.18387097,92
2019-05-08,,80.9,82.97096774,
2019-05-09,,80.9,82.75806452,92
2019-05-10,,80.9,82.54516129,
2019-05-11,,80.9,82.33225806,
2019-05-12,,80.9,82.29677419,85
2019-05-13,,80.9,82.26129032,
2019-05-14,89.1,89.1,82.22580645,97
2019-05-15,,89.1,81.92580645,
2019-05-16,,89.1,81.62580645,93
2019-05-17,,89.1,81.32580645,
2019-05-18,,89.1,81.02580645,
2019-05-19,,89.1,80.72580645,
2019-05-20,,89.1,80.42580645,
2019-05-21,,89.1,80.12580645,
2019-05-22,,89.1,79.82580645,
2019-05-23,82.3,82.3,79.52580645,70
2019-05-24,,82.3,79.44516129,
2019-05-25,,82.3,79.36451613,
2019-05-26,,82.3,79.28387097,
2019-05-27,,82.3,79.20322581,
2019-05-28,,82.3,79.12258065,62
2019-05-29,,82.3,79.04193548,
2019-05-30,,82.3,78.96129032,68
2019-05-31,,82.3,78.88064516,
2019-06-01,,82.3,78.8,
2019-06-02,,82.3,78.71935484,30
2019-06-03,,82.3,78.63870968,86
2019-06-04,74.3,74.3,78.55806452,47
2019-06-05,,74.3,78.73548387,
2019-06-06,,74.3,78.91290323,52
2019-06-07,,74.3,79.09032258,
2019-06-08,,74.3,79.26774194,43
2019-06-09,,74.3,79.44516129,54
2019-06-10,,74.3,79.62258065,
2019-06-11,79.8,79.8,79.8,83
2019-06-12,,79.8,79.8,162
2019-06-13,,79.8,79.8,
2019-06-14,,79.8,79.8,
2019-06-15,,79.8,79.8,
2019-06-16,,79.8,79.8,
2019-06-17,,79.8,79.8,
2019-06-18,,79.8,79.8,92
2019-06-19,,79.8,79.8,208
2019-06-20,,79.8,79.8,105
2019-06-21,,79.8,79.8,
2019-06-22,,79.8,79.8,209
2019-06-23,,79.8,79.8,
2019-06-24,,79.8,79.8,
2019-06-25,,79.8,79.8,67
2019-06-26,,79.8,79.8,
2019-06-27,,79.8,79.8,
2019-06-28,,79.8,79.8,
2019-06-29,,79.8,79.8,82
2019-06-30,,79.8,80.22580645,
2019-07-01,,79.8,80.6516129,
2019-07-02,,79.8,81.07741935,59
2019-07-03,,79.8,81.50322581,
2019-07-04,,79.8,81.92903226,
2019-07-05,,79.8,82.35483871,36
2019-07-06,,79.8,82.78064516,14
2019-07-07,,79.8,83.20645161,38
2019-07-08,,79.8,83.63225806,
2019-07-09,,79.8,84.05806452,81
2019-07-10,,79.8,84.48387097,
2019-07-11,,79.8,84.90967742,
2019-07-12,,79.8,85.33548387,30
2019-07-13,,79.8,85.76129032,29
2019-07-14,,79.8,86.18709677,
2019-07-15,,79.8,86.61290323,
2019-07-16,,79.8,87.03870968,
2019-07-17,,79.8,87.46451613,
2019-07-18,,79.8,87.89032258,133
2019-07-19,,79.8,88.31612903,65
2019-07-20,,79.8,88.21290323,203
2019-07-21,,79.8,88.10967742,
2019-07-22,,79.8,88.00645161,
2019-07-23,,79.8,87.90322581,60
2019-07-24,,79.8,87.86451613,
2019-07-25,,79.8,87.82580645,87
2019-07-26,,79.8,87.78709677,45
2019-07-27,,79.8,87.7483871,162
2019-07-28,,79.8,87.70967742,
2019-07-29,,79.8,87.67096774,
2019-07-30,93,93,87.63225806,85
2019-07-31,,93,87.16774194,
2019-08-01,,93,86.70322581,97
2019-08-02,,93,86.23870968,
2019-08-03,,93,85.77419355,97
2019-08-04,,93,85.30967742,
2019-08-05,,93,84.84516129,
2019-08-06,,93,84.38064516,76
2019-08-07,,93,83.91612903,28
2019-08-08,,93,83.4516129,
2019-08-09,,93,82.98709677,40
2019-08-10,,93,82.52258065,52
2019-08-11,,93,82.05806452,104
2019-08-12,,93,81.59354839,
2019-08-13,,93,81.12903226,77
2019-08-14,,93,80.66451613,
2019-08-15,,93,80.2,
2019-08-16,,93,79.73548387,32
2019-08-17,,93,79.27096774,50
2019-08-18,,93,78.80645161,
2019-08-19,76.6,76.6,78.34193548,100
2019-08-20,,76.6,78.40645161,
2019-08-21,,76.6,78.47096774,
2019-08-22,,76.6,78.53548387,
2019-08-23,78.6,78.6,78.6,81
2019-08-24,,78.6,78.6,46
2019-08-25,,78.6,78.6,
2019-08-26,,78.6,78.6,44
2019-08-27,,78.6,78.6,
2019-08-28,,78.6,78.6,51
2019-08-29,,78.6,78.6,
2019-08-30,,78.6,78.6,41
2019-08-31,,78.6,78.6,28
2019-09-01,,78.6,78.6,166
2019-09-02,,78.6,78.6,
2019-09-03,,78.6,78.6,
2019-09-04,,78.6,78.6,
2019-09-05,,78.6,78.6,
2019-09-06,,78.6,78.6,
2019-09-07,,78.6,78.6,
2019-09-08,,78.6,78.6,
2019-09-09,,78.6,78.6,
2019-09-10,,78.6,78.6,
2019-09-11,,78.6,78.6,
2019-09-12,,78.6,78.6,
